GCA_000633085.1	PRJNA241077	SAMN02713587	Contig	31/10/2008	Georgia: Tbilissi	pulmonary tuberculosis	The strain was isolated from a sputum of a patient with pulmonary tuberculosis
GCA_000650015.1	PRJNA234562	SAMN02584600	Scaffold	27/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650035.1	PRJNA234564	SAMN02584602	Scaffold	27/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650055.1	PRJNA234565	SAMN02584603	Scaffold	24/1/2011	Moldova: Chisinau	NULL	NULL
GCA_000650075.1	PRJNA234566	SAMN02584604	Scaffold	27/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650095.1	PRJNA234567	SAMN02584605	Scaffold	24/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650115.1	PRJNA234568	SAMN02584606	Scaffold	24/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650135.1	PRJNA234570	SAMN02584608	Scaffold	17/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650155.1	PRJNA234571	SAMN02584609	Scaffold	8/1/2011	Moldova: Chisinau	NULL	NULL
GCA_000650175.1	PRJNA234572	SAMN02584610	Scaffold	6/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650195.1	PRJNA234573	SAMN02584611	Scaffold	6/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650215.1	PRJNA234574	SAMN02584612	Scaffold	22/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650235.1	PRJNA234575	SAMN02584613	Scaffold	22/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650255.1	PRJNA234576	SAMN02584614	Scaffold	NULL	Moldova: Chisinau	NULL	NULL
GCA_000650275.1	PRJNA234577	SAMN02584615	Scaffold	29/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650295.1	PRJNA234578	SAMN02584616	Scaffold	6/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650315.1	PRJNA234579	SAMN02584617	Scaffold	27/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650335.1	PRJNA234580	SAMN02584618	Scaffold	29/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650355.1	PRJNA234581	SAMN02584619	Scaffold	18/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650375.1	PRJNA234582	SAMN02584620	Scaffold	29/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650395.1	PRJNA234583	SAMN02584621	Scaffold	30/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650415.1	PRJNA234584	SAMN02584622	Scaffold	30/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650435.1	PRJNA234585	SAMN02584623	Scaffold	2/1/2011	Moldova: Chisinau	NULL	NULL
GCA_000650455.1	PRJNA234587	SAMN02584625	Scaffold	30/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650475.1	PRJNA234588	SAMN02584626	Scaffold	3/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650495.1	PRJNA234589	SAMN02584627	Scaffold	3/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650515.1	PRJNA234592	SAMN02584630	Scaffold	3/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650535.1	PRJNA234593	SAMN02584631	Scaffold	6/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650555.1	PRJNA234596	SAMN02584634	Scaffold	10/12/2010	Moldova: Chisinau	NULL	NULL
GCA_000650575.1	PRJNA234597	SAMN02584635	Scaffold	15/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650595.1	PRJNA234598	SAMN02584636	Scaffold	15/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650615.1	PRJNA234599	SAMN02584637	Scaffold	15/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650635.1	PRJNA234600	SAMN02584638	Scaffold	13/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650655.1	PRJNA234602	SAMN02584640	Scaffold	19/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650675.1	PRJNA234604	SAMN02584641	Scaffold	4/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650695.1	PRJNA234605	SAMN02584642	Scaffold	4/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650715.1	PRJNA234607	SAMN02584643	Scaffold	4/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650735.1	PRJNA234608	SAMN02584644	Scaffold	8/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650755.1	PRJNA234610	SAMN02584645	Scaffold	4/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650775.1	PRJNA234611	SAMN02584646	Scaffold	3/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650795.1	PRJNA234613	SAMN02584647	Scaffold	29/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650815.1	PRJNA234614	SAMN02584648	Scaffold	27/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650835.1	PRJNA234616	SAMN02584649	Scaffold	27/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650855.1	PRJNA234619	SAMN02584651	Scaffold	27/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650875.1	PRJNA234620	SAMN02584652	Scaffold	4/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650895.1	PRJNA234622	SAMN02584653	Scaffold	4/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000650915.1	PRJNA234625	SAMN02584655	Scaffold	5/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650935.1	PRJNA234629	SAMN02584658	Scaffold	7/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650955.1	PRJNA234631	SAMN02584659	Scaffold	7/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650975.1	PRJNA234633	SAMN02584660	Scaffold	11/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000650995.1	PRJNA234635	SAMN02584661	Scaffold	7/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651015.1	PRJNA234636	SAMN02584662	Scaffold	7/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651035.1	PRJNA234638	SAMN02584663	Scaffold	11/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651055.1	PRJNA234639	SAMN02584664	Scaffold	15/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651075.1	PRJNA234641	SAMN02584665	Scaffold	14/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651095.1	PRJNA234642	SAMN02584666	Scaffold	14/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651115.1	PRJNA234643	SAMN02584667	Scaffold	21/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651135.1	PRJNA234644	SAMN02584668	Scaffold	14/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651155.1	PRJNA234646	SAMN02584670	Scaffold	19/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651175.1	PRJNA234648	SAMN02584671	Scaffold	21/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651195.1	PRJNA234649	SAMN02584672	Scaffold	25/11/2010	Moldova: Chisinau	NULL	NULL
GCA_000651215.1	PRJNA234650	SAMN02584673	Scaffold	6/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651235.1	PRJNA234651	SAMN02584674	Scaffold	27/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651255.1	PRJNA234652	SAMN02584675	Scaffold	27/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651275.1	PRJNA234653	SAMN02584676	Scaffold	27/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651295.1	PRJNA234654	SAMN02584677	Scaffold	27/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651315.1	PRJNA234656	SAMN02584678	Scaffold	27/10/2010	Moldova: Chisinau	NULL	NULL
GCA_000651335.1	PRJNA235395	SAMN02585885	Scaffold	11/12/2012	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651355.1	PRJNA235397	SAMN02585887	Scaffold	11/12/2012	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651375.1	PRJNA235398	SAMN02585888	Scaffold	15/1/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651395.1	PRJNA235399	SAMN02585889	Scaffold	15/1/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651415.1	PRJNA235400	SAMN02585890	Scaffold	15/1/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651435.1	PRJNA235401	SAMN02585891	Scaffold	16/1/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651455.1	PRJNA235402	SAMN02585892	Scaffold	30/1/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651475.1	PRJNA235403	SAMN02585893	Scaffold	30/1/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651495.1	PRJNA235404	SAMN02585894	Scaffold	5/2/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651515.1	PRJNA235405	SAMN02585895	Scaffold	5/2/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651535.1	PRJNA235406	SAMN02585896	Scaffold	6/2/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651555.1	PRJNA235407	SAMN02585897	Scaffold	12/2/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651575.1	PRJNA235408	SAMN02585898	Scaffold	12/2/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651595.1	PRJNA235409	SAMN02585899	Scaffold	14/2/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651615.1	PRJNA235410	SAMN02585900	Scaffold	20/2/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651635.1	PRJNA235411	SAMN02585901	Scaffold	6/3/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651655.1	PRJNA235412	SAMN02585902	Scaffold	12/3/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651675.1	PRJNA235414	SAMN02585904	Scaffold	13/3/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651695.1	PRJNA235415	SAMN02585905	Scaffold	13/3/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651715.1	PRJNA235416	SAMN02585906	Scaffold	13/3/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651735.1	PRJNA235417	SAMN02585907	Scaffold	13/3/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651755.1	PRJNA235419	SAMN02585909	Scaffold	19/3/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651775.1	PRJNA235422	SAMN02585912	Scaffold	20/3/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651795.1	PRJNA235426	SAMN02585916	Scaffold	2/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651815.1	PRJNA235431	SAMN02585921	Scaffold	3/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651835.1	PRJNA235432	SAMN02585922	Scaffold	9/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651855.1	PRJNA235433	SAMN02585923	Scaffold	9/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651875.1	PRJNA235435	SAMN02585925	Scaffold	9/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651895.1	PRJNA235436	SAMN02585926	Scaffold	10/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651915.1	PRJNA235437	SAMN02585927	Scaffold	16/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651935.1	PRJNA235438	SAMN02585928	Scaffold	16/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651955.1	PRJNA235439	SAMN02585929	Scaffold	16/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651975.1	PRJNA235440	SAMN02585930	Scaffold	16/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000651995.1	PRJNA235442	SAMN02585932	Scaffold	16/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652015.1	PRJNA235444	SAMN02585934	Scaffold	17/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652035.1	PRJNA235445	SAMN02585935	Scaffold	23/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652055.1	PRJNA235447	SAMN02585937	Scaffold	23/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652075.1	PRJNA235448	SAMN02585938	Scaffold	23/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652095.1	PRJNA235450	SAMN02585940	Scaffold	24/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652115.1	PRJNA235451	SAMN02585941	Scaffold	24/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652135.1	PRJNA235452	SAMN02585942	Scaffold	24/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652155.1	PRJNA235453	SAMN02585943	Scaffold	30/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652175.1	PRJNA235454	SAMN02585944	Scaffold	30/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652195.1	PRJNA235455	SAMN02585945	Scaffold	30/4/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652215.1	PRJNA235457	SAMN02585947	Scaffold	7/5/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652235.1	PRJNA235458	SAMN02585948	Scaffold	17/7/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652255.1	PRJNA235459	SAMN02585949	Scaffold	23/7/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652275.1	PRJNA235460	SAMN02585950	Scaffold	31/7/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652295.1	PRJNA235461	SAMN02585951	Scaffold	31/7/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652315.1	PRJNA235463	SAMN02585953	Scaffold	14/8/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652335.1	PRJNA235464	SAMN02585954	Scaffold	21/8/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652355.1	PRJNA235465	SAMN02585955	Scaffold	27/8/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652375.1	PRJNA235466	SAMN02585956	Scaffold	27/8/2013	South Africa: Durban Chest Clinic	NULL	missing
GCA_000652395.1	PRJNA235467	SAMN02585957	Scaffold	27/5/2013	South Africa: Umphumulo hospital	NULL	missing
GCA_000652415.1	PRJNA235468	SAMN02585958	Scaffold	14/5/2011	South Africa: Ntuze clinic	NULL	missing
GCA_000652435.1	PRJNA235469	SAMN02585959	Scaffold	20/2/2013	South Africa: Thulasizwe Hopsital	NULL	missing
GCA_000652455.1	PRJNA235470	SAMN02585960	Scaffold	3/6/2013	South Africa: FOSA Hospital	NULL	missing
GCA_000652475.1	PRJNA235471	SAMN02585961	Scaffold	23/5/2013	Church of Scotland	NULL	missing
GCA_000652495.1	PRJNA235473	SAMN02585963	Scaffold	23/5/2013	Church of Scotland	NULL	missing
GCA_000652515.1	PRJNA235474	SAMN02585964	Scaffold	4/6/2013	South Africa: Murchison Hopsital	NULL	missing
GCA_000652535.1	PRJNA235475	SAMN02585965	Scaffold	21/5/2013	South Africa: Thulasizwe Hopsital	NULL	missing
GCA_000652555.1	PRJNA235476	SAMN02585966	Scaffold	29/5/2013	South Africa: Manguzi Hospital	NULL	missing
GCA_000652575.1	PRJNA235477	SAMN02585967	Scaffold	8/11/2012	South Africa: Thulasizwe Hopsital	NULL	missing
GCA_000652595.1	PRJNA235478	SAMN02585968	Scaffold	18/7/2013	South Africa: King Dinuzulu Hospital	NULL	missing
GCA_000652615.1	PRJNA235479	SAMN02585969	Scaffold	10/5/2013	South Africa: Untunjambili Hospital	NULL	missing
GCA_000652635.1	PRJNA235480	SAMN02585970	Scaffold	11/7/2013	Catherine Booth	NULL	missing
GCA_000652655.1	PRJNA235481	SAMN02585971	Scaffold	22/7/2013	South Africa: King Dinuzulu Hospital	NULL	missing
GCA_000652675.1	PRJNA235482	SAMN02585972	Scaffold	18/7/2013	South Africa: Sundumbili Clinic	NULL	missing
GCA_000652695.1	PRJNA235483	SAMN02585973	Scaffold	5/7/2013	South Africa: Thulasizwe Hopsital	NULL	missing
GCA_000652715.1	PRJNA235484	SAMN02585974	Scaffold	19/7/2013	South Africa: King Dinuzulu Hospital	NULL	missing
GCA_000652735.1	PRJNA235485	SAMN02585975	Scaffold	4/7/2013	South Africa: Thulasizwe Hopsital	NULL	missing
GCA_000652755.1	PRJNA235486	SAMN02585976	Scaffold	11/7/2013	South Africa: Murchison Hopsital	NULL	missing
GCA_000652775.1	PRJNA235487	SAMN02585977	Scaffold	4/7/2013	South Africa: Kwa-Mashu Poly Clinic	NULL	missing
GCA_000652795.1	PRJNA235488	SAMN02585978	Scaffold	5/7/2013	South Africa: Murchison Hopsital	NULL	missing
GCA_000652815.1	PRJNA235489	SAMN02585979	Scaffold	24/7/2013	South Africa: Thokozani Clinic	NULL	missing
GCA_000652835.1	PRJNA235490	SAMN02585980	Scaffold	24/7/2013	South Africa: Amakhabela Clinic	NULL	missing
GCA_000652855.1	PRJNA235491	SAMN02585981	Scaffold	17/5/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000652875.1	PRJNA235493	SAMN02585983	Scaffold	24/5/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000652895.1	PRJNA235496	SAMN02585986	Scaffold	29/5/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000652915.1	PRJNA235497	SAMN02585987	Scaffold	31/5/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000652935.1	PRJNA235498	SAMN02585988	Scaffold	31/5/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000652955.1	PRJNA235500	SAMN02585990	Scaffold	7/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000652975.1	PRJNA235501	SAMN02585991	Scaffold	10/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000652995.1	PRJNA235502	SAMN02585992	Scaffold	10/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653015.1	PRJNA235503	SAMN02585993	Scaffold	12/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653035.1	PRJNA235506	SAMN02585996	Scaffold	19/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653055.1	PRJNA235507	SAMN02585997	Scaffold	21/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653075.1	PRJNA235509	SAMN02585999	Scaffold	26/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653095.1	PRJNA235510	SAMN02586000	Scaffold	28/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653115.1	PRJNA235511	SAMN02586001	Scaffold	3/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653135.1	PRJNA235512	SAMN02586002	Scaffold	3/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653155.1	PRJNA235513	SAMN02586003	Scaffold	4/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653175.1	PRJNA235514	SAMN02586004	Scaffold	10/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653195.1	PRJNA235517	SAMN02586007	Scaffold	15/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653215.1	PRJNA235518	SAMN02586008	Scaffold	15/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653235.1	PRJNA235519	SAMN02586009	Scaffold	17/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653255.1	PRJNA235522	SAMN02586012	Scaffold	18/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653275.1	PRJNA235525	SAMN02586015	Scaffold	25/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653295.1	PRJNA235526	SAMN02586016	Scaffold	29/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653315.1	PRJNA235527	SAMN02586017	Scaffold	19/8/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653335.1	PRJNA235528	SAMN02586018	Scaffold	20/8/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653355.1	PRJNA235529	SAMN02586019	Scaffold	23/8/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653375.1	PRJNA235531	SAMN02586021	Scaffold	29/5/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653395.1	PRJNA235533	SAMN02586023	Scaffold	31/5/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653415.1	PRJNA235534	SAMN02586024	Scaffold	5/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653435.1	PRJNA235535	SAMN02586025	Scaffold	7/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653455.1	PRJNA235536	SAMN02586026	Scaffold	10/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653475.1	PRJNA235537	SAMN02586027	Scaffold	10/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653495.1	PRJNA235538	SAMN02586028	Scaffold	11/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653515.1	PRJNA235540	SAMN02586030	Scaffold	12/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653535.1	PRJNA235541	SAMN02586031	Scaffold	14/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653555.1	PRJNA235543	SAMN02586033	Scaffold	19/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653575.1	PRJNA235545	SAMN02586035	Scaffold	26/6/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653595.1	PRJNA235547	SAMN02586037	Scaffold	3/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653615.1	PRJNA235549	SAMN02586039	Scaffold	11/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653635.1	PRJNA235550	SAMN02586040	Scaffold	12/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653655.1	PRJNA235551	SAMN02586041	Scaffold	12/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653675.1	PRJNA235552	SAMN02586042	Scaffold	15/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653695.1	PRJNA235553	SAMN02586043	Scaffold	15/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653715.1	PRJNA235554	SAMN02586044	Scaffold	17/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653735.1	PRJNA235555	SAMN02586045	Scaffold	17/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653755.1	PRJNA235556	SAMN02586046	Scaffold	18/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
GCA_000653775.1	PRJNA235557	SAMN02586047	Scaffold	18/7/2013	South Africa: King Dinuzulu Hospital	NULL	sputum
